MMWR Week,End Week,Total Deaths,COVID-19 Deaths
1,01/04/2020,18390,0
2,01/11/2020,18698,0
3,01/18/2020,18343,0
4,01/25/2020,18067,0
5,02/01/2020,18228,0
6,02/08/2020,18212,0
7,02/15/2020,17965,2
8,02/22/2020,18096,1
9,02/29/2020,18040,2
10,03/07/2020,18129,12
11,03/14/2020,17869,18
12,03/21/2020,17682,146
13,03/28/2020,19329,763
14,04/04/2020,21948,2497
15,04/11/2020,24446,4735
16,04/18/2020,24655,5724
17,04/25/2020,23579,5499
18,05/02/2020,21766,4848
19,05/09/2020,20253,4024
20,05/16/2020,19803,3415
21,05/23/2020,18463,2542
22,05/30/2020,17571,2155
23,06/06/2020,16891,1658
24,06/13/2020,16635,1288
25,06/20/2020,16430,1211
26,06/27/2020,16792,1112
27,07/04/2020,16972,1271
28,07/11/2020,17232,1487
29,07/18/2020,17912,1919
30,07/25/2020,17993,2119
31,08/01/2020,17970,2166
32,08/08/2020,17764,2072
33,08/15/2020,17927,1945
34,08/22/2020,17841,1722
35,08/29/2020,17637,1637
36,09/05/2020,17163,1406
37,09/12/2020,17115,1254
38,09/19/2020,17260,1268
39,09/26/2020,17898,1277
40,10/03/2020,17371,1308
41,10/10/2020,18013,1459
42,10/17/2020,17812,1695
43,10/24/2020,18634,2016
44,10/31/2020,18811,2305
45,11/07/2020,20274,2905
46,11/14/2020,20686,3589
47,11/21/2020,21827,4567
48,11/28/2020,22677,5332
49,12/05/2020,23876,6269
50,12/12/2020,25728,7325
51,12/19/2020,25619,7552
52,12/26/2020,25903,7629
53,01/02/2021,26347,7900
1,01/09/2021,25945,7947
2,01/16/2021,25932,7679
3,01/23/2021,24627,6849
4,01/30/2021,23202,5769
5,02/06/2021,21956,4617
6,02/13/2021,20012,3511
7,02/20/2021,19624,2669
8,02/27/2021,18759,2003
9,03/06/2021,17555,1486
10,03/13/2021,17279,1283
11,03/20/2021,16742,1039
12,03/27/2021,16792,909
13,04/03/2021,15927,871
14,04/10/2021,16466,842
15,04/17/2021,15958,856
16,04/24/2021,16223,850
17,05/01/2021,16110,781
18,05/08/2021,15875,721
19,05/15/2021,15627,644
20,05/22/2021,15775,544
21,05/29/2021,15522,461
22,06/05/2021,15339,361
23,06/12/2021,15190,325
24,06/19/2021,15309,325
25,06/26/2021,15497,275
26,07/03/2021,15482,276
27,07/10/2021,15433,284
28,07/17/2021,15441,311
29,07/24/2021,15835,474
30,07/31/2021,16050,646
31,08/07/2021,16842,999
32,08/14/2021,17138,1425
33,08/21/2021,17817,1793
34,08/28/2021,17987,1964
35,09/04/2021,18114,2106
36,09/11/2021,18102,2148
37,09/18/2021,18222,2114
38,09/25/2021,17854,1983
39,10/02/2021,18122,1857
40,10/09/2021,17750,1742
41,10/16/2021,17695,1574
42,10/23/2021,17736,1555
43,10/30/2021,17880,1389
44,11/06/2021,17932,1330
45,11/13/2021,18511,1405
46,11/20/2021,18217,1378
47,11/27/2021,18513,1502
48,12/04/2021,19204,1678
49,12/11/2021,19470,1799
50,12/18/2021,19076,1833
51,12/25/2021,19195,1795
52,01/01/2022,19867,2032
1,01/08/2022,21435,3105
2,01/15/2022,23581,4418
3,01/22/2022,23971,5218
4,01/29/2022,23335,5104
5,02/05/2022,21935,4450
6,02/12/2022,19321,3277
7,02/19/2022,15757,2164
8,02/26/2022,12707,1360
9,03/05/2022,10523,800
10,03/12/2022,4780,273
